Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
KMTA02,I,8230.11892,0.0,0.0,17.146076,0.020209
KMTA02,I,8230.13218,0.0,0.0,17.158875,0.026632
KMTA02,I,8230.14353,0.0,0.0,17.161742,0.022094
KMTA02,I,8230.15493,0.0,0.0,17.151502,0.01955
KMTA02,I,8230.16612,0.0,0.0,17.150683,0.025519
KMTA02,I,8230.18429,0.0,0.0,17.157032,0.021097
KMTA02,I,8230.19558,0.0,0.0,17.159489,0.019223
KMTA02,I,8230.2071,0.0,0.0,17.143005,0.022969
KMTA02,I,8230.22,0.0,0.0,17.170858,0.021324
KMTA02,I,8230.23157,0.0,0.0,17.192681,0.022109
KMTA02,I,8230.25061,0.0,0.0,17.212054,0.02511
KMTA02,I,8230.26184,0.0,0.0,17.137375,0.018333
KMTA02,I,8230.27298,0.0,0.0,17.158773,0.021208
KMTA02,I,8230.28473,0.0,0.0,17.140139,0.020538
KMTA02,I,8230.29592,0.0,0.0,17.175365,0.023317
KMTA02,I,8231.08928,0.0,0.0,17.154472,0.019772
KMTA02,I,8231.10059,0.0,0.0,17.150479,0.018668
KMTA02,I,8231.11216,0.0,0.0,17.146895,0.018007
KMTA02,I,8231.12411,0.0,0.0,17.165532,0.017355
KMTA02,I,8231.15598,0.0,0.0,17.155803,0.017241
KMTA02,I,8231.16729,0.0,0.0,17.122229,0.0169
KMTA02,I,8231.17857,0.0,0.0,17.142903,0.016688
KMTA02,I,8231.19151,0.0,0.0,17.130415,0.017561
